resource_id	name	description	category	organization	availability	phone_num	address	email	website	tags
19	Understanding & Managing your Health	Information about living with chronic illnesses, and tips on coping with these illnesses in a healthy way.	Coping	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/deal-chronic-illness.html	choc, coping
20	How to Be Mindful	Information about mindfulness and tips on how to practice mindfulness yourself.	Mindfulness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/mindfulness.html	choc, mindfulness
21	Mindfulness Exercises	Exercises that help you practice mindfulness and become more calm.	Mindfulness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/mindful-exercises.html	choc, mindful-exercises
22	Be Your Best Self	Articles, quizzes, and tips about learning to live a positive, healthy, and successful life.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/center/best-self-center.html	choc, mental-health
23	Relaxation and Breathing	Relaxation exercise videos that help you learn how to relax and reduce stress.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/relax-breathing.html	choc, relaxation
24	Meditations	A meditation audio that helps you feel grateful and filled with love for the people in your life.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/relax-meditation.html	choc, meditate
25	Stress and Coping	Articles and tips about learning to deal with stress and anxiety in your life.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/center/stress-center.html	choc, stress, coping
26	Positive Emotions	Examples of positive emotions in our lives and tips on how to increase our positivity every day.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/positive-worksheet.html	choc, emotional-health
27	Yoga	Different yoga poses that you can practice to feel more peaceful and refreshed.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/yoga-home.html	choc, yoga
28	Exercise and Fitness	Information and advice about different sports/exercises that you can do to stay healthy.	Health / Wellness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/nutrition-fitness-center/fitness	choc, physical-wellbeing
29	Healthy Relationships with Food & Exercise	Information about diets, healthy eats, strength training, eating disorders, and more.	Food / Fitness	CHOC	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/food-fitness	choc, nutrition
30	Food Pantries in Orange County	A list of free food pantries in Orange County.	Food / Fitness	211OC					https://www.211oc.org/food/groceries.html	211oc, food
31	Victim Services	Safety planning, crisis response, victim assistance for all crimes (human trafficking / rape crisis), court advocacy	Victim Services	Waymakers	24/7 (General Phone Line) Mon-Fri (Court Advocacy) 24/7 (Rape Crisis)	714-714-0780 (24/7 Phone Line) 949-250-0488 (Court Advocacy) 714-957-2737 (Rape Crisis)	1221 East Dyer Road, Suite 120 Santa Ana, CA 92705		https://waymakersoc.org/	waymakers, safety planning
